model,label,substrate_pair,rmse,mae,bias,mean_predictive_std,n
M2_all_kraken,All cleaned Kraken descriptors,1b_2b,14.817821766829054,11.67177174551265,-1.3379841167943387,14.979286353061543,64
M2_all_kraken,All cleaned Kraken descriptors,1b_2c,12.705225634992583,9.385801912025219,1.3297905857281278,14.788170545524641,64
M2_all_kraken,All cleaned Kraken descriptors,1c_2a,17.145449478018392,14.003086081918372,-0.8854549814544574,14.861849098510625,64
M2_all_kraken,All cleaned Kraken descriptors,1c_2b,16.09544378559617,13.457354764042046,1.4047092546355113,14.754756052722557,64
M2_all_kraken,All cleaned Kraken descriptors,1c_2c,13.475695950483933,11.151310599669378,3.561836215559998,14.717892216931494,64
M2_all_kraken,All cleaned Kraken descriptors,1d_2a,13.764627991961277,10.883358967447247,-2.273587156099683,14.927305345995533,64
M2_all_kraken,All cleaned Kraken descriptors,1d_2b,14.38992784360106,11.5293209474648,-1.053294952291091,14.99450140149605,64
M2_all_kraken,All cleaned Kraken descriptors,1d_2c,16.248203332808725,13.39528621125918,-2.0734692088502062,14.796798276012815,64
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,1a_2a,12.733324935457892,9.897291313669923,-0.13234201437189813,13.190494771147106,64
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,1a_2b,14.574867952772015,12.359619245397132,-2.9813636104421755,13.297238163900017,64
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,1a_2c,8.840816831047567,6.9275386615983265,1.0705375993029986,13.228056975014688,64
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,1b_2a,13.842050512208797,10.977068931006098,-0.02229942984653488,13.318715500980012,64
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,1b_2b,12.987889731062236,10.42784683565332,-1.2111383327735703,13.326735849540302,64
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,1b_2c,12.886914661678269,9.55712548004063,-0.14391636889068285,13.28330059132082,64
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,1c_2a,14.419846633301878,11.500379098182123,-0.573478899174926,13.297426661763254,64
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,1c_2b,14.796295243976973,11.796531344894003,2.248257126477819,13.256656266323441,64
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,1c_2c,12.490257984517276,9.75316171189774,2.243818116535357,13.22741329806458,64
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,1d_2a,12.392704270310167,9.227274065796971,-0.9965327991688845,13.34648283993197,64
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,1d_2b,12.058811783439914,9.337113009496619,1.5050775843766533,13.322902049148087,64
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,1d_2c,13.752566809954889,11.141216918238639,-4.48510705033882,13.286557353441838,64
M4_pc_scores,PC1-PC4 scores,1a_2a,13.245523961574428,10.500037860873157,-1.2671883238701198,13.53341885422618,64
M4_pc_scores,PC1-PC4 scores,1a_2b,13.506191511168225,11.485239632532995,-2.5251241220363037,13.598576250487305,64
M4_pc_scores,PC1-PC4 scores,1a_2c,9.117975053399462,7.248326174854642,0.9005509487681033,13.557209798753933,64
M4_pc_scores,PC1-PC4 scores,1b_2a,14.190246408539366,12.180040214452648,1.2150910702499582,13.56262038441676,64
M4_pc_scores,PC1-PC4 scores,1b_2b,14.107122146726523,11.185683856864618,-1.7120970086095166,13.715707731375678,64
M4_pc_scores,PC1-PC4 scores,1b_2c,11.94770966996197,8.903216819662736,-0.22261349227760777,13.620535463183618,64
M4_pc_scores,PC1-PC4 scores,1c_2a,13.622553241910675,10.476714854912688,-1.1700960988285485,13.633383255478499,64
M4_pc_scores,PC1-PC4 scores,1c_2b,14.905645416360674,11.653024890670023,2.4989626992311464,13.56268712267576,64
M4_pc_scores,PC1-PC4 scores,1c_2c,12.393936452383521,9.895121852067355,1.8337365653458946,13.568613393550256,64
M4_pc_scores,PC1-PC4 scores,1d_2a,11.363050120103987,7.880434242125903,-0.5859169967414304,13.708964719018391,64
M4_pc_scores,PC1-PC4 scores,1d_2b,10.598180348653164,7.999428495588813,1.3901862477793177,13.556060440110762,64
M4_pc_scores,PC1-PC4 scores,1d_2c,12.329997123084782,10.37126146267152,-4.30667678393096,13.649037732403754,64
M5_ligand_onehot,Ligand identity one-hot baseline,1a_2a,13.731889120277298,10.722707526104728,0.4369068567173144,12.903418973875434,64
