model,label,Ligand_Short_Hand,rmse,mae,bias,mean_predictive_std,n
M4_pc_scores,PC1-PC4 scores,AmPhos,12.726554061602704,9.957447923620807,-0.9005577353081508,13.868592814059454,96
M4_pc_scores,PC1-PC4 scores,CataCXium A,14.566794428849954,11.298408584870755,1.2872911441898263,12.67347953686641,96
M4_pc_scores,PC1-PC4 scores,P(Cy)3,12.95222350103646,10.505604220446374,1.3569544146805874,13.409995510780332,96
M4_pc_scores,PC1-PC4 scores,P(Ph)3,10.922817294076605,8.19498150098455,1.022193170097476,13.681422728818651,96
M4_pc_scores,PC1-PC4 scores,P(o-Tol)3,12.728866021272358,10.163931099215327,0.3961046841955696,12.704673888540883,96
M4_pc_scores,PC1-PC4 scores,P(tBu)3,13.732292639337862,11.01967101817507,0.07515795684575376,14.698438356424314,96
M4_pc_scores,PC1-PC4 scores,SPhos,11.402285589849441,8.999106172848187,-2.481369769725386,13.597569162943586,96
M4_pc_scores,PC1-PC4 scores,XPhos,12.279964941942275,9.713203051356999,-3.3898973949223863,14.210371432020303,96
M5_ligand_onehot,Ligand identity one-hot baseline,AmPhos,10.556415701112298,7.8666607511773785,-1.1205057548906094,12.80683394728402,96
M5_ligand_onehot,Ligand identity one-hot baseline,CataCXium A,12.704881339145906,9.528460468432305,1.1017277382001265,12.903311721262552,96
M5_ligand_onehot,Ligand identity one-hot baseline,P(Cy)3,11.896450208684847,9.788997758862662,0.4681705062702271,12.796695073791774,96
M5_ligand_onehot,Ligand identity one-hot baseline,P(Ph)3,11.054321136027221,8.618636150947532,1.9405207710029249,12.861017219665166,96
M5_ligand_onehot,Ligand identity one-hot baseline,P(o-Tol)3,10.773022625714235,8.744784670956319,-0.3753700997768366,12.909899237742062,96
M5_ligand_onehot,Ligand identity one-hot baseline,P(tBu)3,13.902189563584086,11.135818298026985,-0.06688961671564976,12.962243647074702,96
M5_ligand_onehot,Ligand identity one-hot baseline,SPhos,12.766735582856919,10.165434789542287,-1.6165973162318894,12.97392867846776,96
M5_ligand_onehot,Ligand identity one-hot baseline,XPhos,15.127992405966616,11.631785013704329,-3.546498354999501,12.985983978461439,96
