model,label,n_transformed_features_min,n_transformed_features_max,n_transformed_features_last,n_fit_rows,fit_seconds,fitted_kernel_last,rmse,mae,r2,mean_predictive_std
df_bur_boltz_vbur_min_vbur_delta,LOLO_CataCXium A,31,31,31,2688,1.8243295999709517,RBF(length_scale=1),21.15970943124876,14.660657771564457,0.5315812823914932,12.303299257826714
df_bur_boltz_vbur_min_vbur_delta,LOLO_P(Cy)3,31,31,31,2688,2.3544872999191284,RBF(length_scale=1),20.962178797907328,15.242847281632613,0.49870494968417767,18.194244528331144
df_bur_boltz_vbur_min_vbur_delta,LOLO_P(Ph)3,31,31,31,2688,2.574824700015597,RBF(length_scale=1),26.184002812831416,23.88791269960605,0.37883029825766334,25.659941214872713
df_bur_boltz_vbur_min_vbur_delta,LOLO_P(o-Tol)3,31,31,31,2688,2.1931986999697983,RBF(length_scale=1),22.19937525198733,14.809169730970124,0.3464997612635974,12.709426869315488
df_bur_boltz_vbur_min_vbur_delta,LOLO_P(tBu)3,31,31,31,2688,2.253094100044109,RBF(length_scale=1),16.479101067640414,11.606500688768952,0.6750130504074606,13.07184064178754
df_bur_boltz_vbur_min_vbur_delta,LOLO_SPhos,31,31,31,2688,2.2837977999588475,RBF(length_scale=1),14.074685863009652,12.488490855218453,0.7456592779784994,24.718974491033265
df_bur_boltz_vbur_min_vbur_delta,LOLO_XPhos,31,31,31,2688,2.471356099937111,RBF(length_scale=1),18.944145434408483,16.528285556407337,0.5082517628764501,28.979580967024386
df_interp,LOLO_AmPhos,33,33,33,2688,1.8019655999960378,RBF(length_scale=1),31.617372739424837,28.848851501790595,-0.0009077708992424327,29.871698644170085
df_interp,LOLO_CataCXium A,33,33,33,2688,1.5546992000890896,RBF(length_scale=1),16.564339560871126,12.86882295979269,0.7129463383580572,24.480621595749415
df_interp,LOLO_P(Cy)3,33,33,33,2688,1.489075299934484,RBF(length_scale=1),21.653972002442025,19.23977457900735,0.4650715253403035,26.86001011085835
df_interp,LOLO_P(Ph)3,33,33,33,2688,1.5744211000856012,RBF(length_scale=1),32.82495715735071,30.737434850602728,0.023782649222972574,29.427921943561632
df_interp,LOLO_P(o-Tol)3,33,33,33,2688,1.4380782999796793,RBF(length_scale=1),27.211399748116374,24.103250434912923,0.018102825292141245,29.95090804310335
df_interp,LOLO_P(tBu)3,33,33,33,2688,1.5334595999447629,RBF(length_scale=1),26.238763853289313,23.763144675808608,0.17607889282792955,29.562963015718804
df_interp,LOLO_SPhos,33,33,33,2688,1.4261534999823198,RBF(length_scale=1),14.889568526903638,13.292752024284988,0.7153555603472015,25.86633424290586
df_interp,LOLO_XPhos,33,33,33,2688,1.7203628000570461,RBF(length_scale=1),19.682590720806676,17.201237772207275,0.4691677534661606,29.254709048069216
df_pca_augmented,LOLO_AmPhos,40,40,40,2688,2.527001000009477,RBF(length_scale=1),31.616764201795654,28.8483078888077,-0.0008692424493681461,29.871698640401462
df_pca_augmented,LOLO_CataCXium A,40,40,40,2688,2.725660700001754,RBF(length_scale=1),27.47028489996038,25.154069698745705,0.2105199339359164,29.537810856650193
df_pca_augmented,LOLO_P(Cy)3,40,40,40,2688,3.1092831999994814,RBF(length_scale=1),26.204471789082604,23.92935011427471,0.2166219576272207,29.820925225177515
df_pca_augmented,LOLO_P(Ph)3,40,40,40,2688,2.6622902000090107,RBF(length_scale=1),33.3626629475805,31.168159695215014,-0.00846214911364851,29.447794035343573
df_pca_augmented,LOLO_P(o-Tol)3,40,40,40,2688,2.7311803000047803,RBF(length_scale=1),28.19034146979176,25.109368823524875,-0.0538163168081538,30.161734966646467
df_pca_augmented,LOLO_P(tBu)3,40,40,40,2688,1.9649447000119835,RBF(length_scale=1),29.85486304045592,27.039769956654208,-0.066667476314481,30.14549317253704
df_pca_augmented,LOLO_SPhos,40,40,40,2688,1.9852736999746412,RBF(length_scale=1),27.996726478130373,25.115747892135115,-0.006359122036416975,30.363647265213654
df_pca_augmented,LOLO_XPhos,40,40,40,2688,1.687104200012982,RBF(length_scale=1),27.09935545522449,23.882639936756558,-0.006261128651221526,30.500493138920152
